Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,2825.67314153519,3351.6965168531,6393.00826546062,6436.60944956683,6844.02028762371,5869.73294292043,6411.5271592539,6705.35186204355,6947.80081217637,6679.16767381458,5863.20324072216,6805.22127398897
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,2592.62716607932,3726.81142036099,12327.3174365132,12258.5031683848,12071.1582132348,8783.22598387817,8680.76879182018,9896.68478335903,9121.08340257783,8845.25911841876,6794.48915877166,7507.16097080234
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,13440.9140074293,17971.5065800941,46842.9602563885,43948.8511672852,41037.0726485073,30681.6794391894,26762.9456464617,28186.8030267778,31241.4539554095,30748.7374865551,27179.4119853371,31449.0765620727
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,2366.52982128614,1621.24301844691,7432.47876568071,7681.93461995882,7901.78587639382,7074.68102325059,7569.47881476759,8366.29322145748,9446.71709419731,9879.33434282707,10129.8129597638,12221.4966064171
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,339.631807555863,249.802067600678,733.972934218398,762.303817145668,767.371390675917,632.12668368394,665.786345451309,711.184604673297,779.202709700092,772.166894917835,833.244342636324,893.077155776863
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,206.444928267383,138.004617225366,238.205949387117,241.54767083565,257.818551909332,289.359633280865,242.065670543589,243.135809436375,231.446476548394,216.972968085123,216.826741341377,221.477676223363
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,841.805414323556,1176.70725787049,3262.6470579856,3427.17717233918,3405.93344748456,2891.88448249992,2978.19942029293,3132.62179827279,3442.74200302219,3434.56274492859,2924.10180677162,3293.23305430614
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,..,301.516598515387,950.482544612158,1015.2208813493,1098.07453750857,1170.74281578324,1281.10596442243,1400.89926039107,1533.31598466695,1671.38538492515,1577.91174726099,1625.23501955454
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,1077.33349708393,700.163213560189,1433.72403512901,1559.13912494614,1631.71408426148,1399.67533119236,1426.0655172286,1479.86234930121,1594.05998970315,1538.68794663506,1539.13055856256,1666.93273443122
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,21448.3619600057,24271.0020563821,52669.0899632316,52635.1749580433,50955.9983232404,43596.1355365546,42315.6037056806,45129.4292980922,46548.6384108296,46328.6718408497,43258.2638715601,51987.9390529728
GDP per capita (current US$),NY.GDP.PCAP.CD,Cayman Islands,CYM,..,..,75468.8534358117,75688.0821511978,76613.4065500634,77298.6280551844,78861.1192668733,81258.0377580086,85234.8427208773,89871.9131394463,83329.4587744645,86568.7696368603
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,512.85085640136,243.877580064527,525.86754317732,352.226871986924,394.856956966036,351.879753579186,372.135465512503,414.740286565386,435.932263645028,426.408762581226,435.469251582856,461.137490166508
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,298.367079243856,168.117652803305,969.616214938776,980.083591998081,1017.7878239279,774.411600504375,691.980094943092,662.897530045018,720.265046964353,701.621216594764,643.772221286329,685.690284124456
GDP per capita (current US$),NY.GDP.PCAP.CD,Channel Islands,CHI,..,44316.1535931325,..,..,..,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Chile,CHL,2481.76687492952,5097.11493718915,15406.4929435446,15833.2752047998,14666.3435315712,13569.9478008231,13785.6883317516,15045.5276791243,15795.7084630954,14631.9468779229,13094.4595313609,16265.0959767147
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,317.884673040928,959.372483639691,6300.61511825789,7020.33848453658,7636.11660125265,8016.43143498352,8094.36336674652,8816.98690451883,9905.34200388822,10143.8381955585,10408.6697561349,12556.3331200058
GDP per capita (current US$),NY.GDP.PCAP.CD,Colombia,COL,1467.54743608627,2547.14352840369,8101.82909177914,8264.1268955859,8164.71449537797,6228.4262990412,5938.46385585875,6450.31958548124,6782.03792033195,6438.06018290435,5307.21522798919,6104.1367093039
GDP per capita (current US$),NY.GDP.PCAP.CD,Comoros,COM,996.527983557779,654.180409871714,1483.95137964493,1595.98989563495,1608.68786375537,1322.93669549676,1357.26626338776,1414.586566491,1531.33797185868,1510.79735809965,1519.58682298786,1577.47102705052
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Dem. Rep.",COD,259.805597176304,392.626333784131,412.776268166757,444.864360951453,472.266227045325,482.0645483336,456.027931170745,451.089098377617,546.212593877879,575.882790805511,524.666675441091,577.209215199828
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Rep.",COG,1173.26443629039,1029.96068877345,3753.86120747571,3719.65121681283,3622.53029274349,2347.81849884859,1970.25024887995,2088.50011733964,2512.38397871635,2288.80813763495,1838.44813852491,2290.38289133244
GDP per capita (current US$),NY.GDP.PCAP.CD,Costa Rica,CRI,1808.49595860746,3773.03379319679,9971.65090241867,10633.2672527524,10737.6788809612,11529.9545258398,11899.8132624909,12118.1334111458,12383.1499737386,12669.341068679,12132.8768848243,12472.4437294954
GDP per capita (current US$),NY.GDP.PCAP.CD,Cote d'Ivoire,CIV,906.411473111605,986.777320949729,1649.30173900093,1903.05432119282,2124.01955857681,1941.56633627815,1980.87814206612,2076.14799980549,2275.4959502948,2238.81100489009,2288.11949762033,2549.04129724734
GDP per capita (current US$),NY.GDP.PCAP.CD,Croatia,HRV,..,4880.56898237938,13443.1352298628,13871.3299049143,13784.4783575033,11952.3111753908,12552.2553786198,13655.8159387619,15244.4310483476,15331.8830536722,14198.7539594744,17685.3252834553
GDP per capita (current US$),NY.GDP.PCAP.CD,Cuba,CUB,2695.61486458131,2752.20378269319,6467.33791422804,6814.24384354868,7117.52691001591,7683.75789050585,8055.88990736388,8543.36096849045,8831.90722233737,9139.41585605765,9499.59020230432,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Curacao,CUW,..,..,19886.6783682132,19762.739621629,19552.660553207,19260.269845345,18881.8306152417,18788.8072839326,18956.0979741907,19024.1771511889,16109.8617501685,17717.5964802588
GDP per capita (current US$),NY.GDP.PCAP.CD,Cyprus,CYP,9641.5751953125,14388.34765625,28993.349609375,27799.119140625,27245.365234375,23487.125,24715.73046875,26697.171875,29418.935546875,29417.138671875,28036.189453125,31551.81640625
GDP per capita (current US$),NY.GDP.PCAP.CD,Czechia,CZE,3941.50309406941,6029.03819275358,19870.8012123403,20133.1691431353,19890.9199056648,17829.6983223668,18575.2320271915,20636.199952435,23424.4804601855,23664.8478631108,22992.8793833348,26821.2452279995
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,26891.4464489571,30743.5476816354,58507.5080517852,61191.1937042028,62548.9847332908,53254.8563700916,54663.9983719195,57610.0981801135,61591.9288698958,59592.9806886454,60915.4243995462,68007.7566732954
GDP per capita (current US$),NY.GDP.PCAP.CD,Djibouti,DJI,783.695854246259,742.865697154312,1418.46085811933,2102.19794830208,2239.11453821208,2409.31190224284,2545.73879850905,2655.73321960188,2755.83829341814,2876.04366371536,2917.9962809563,3150.43672926335
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominica,DMA,2899.06060116621,4879.14977277925,7054.87597689432,7240.67911908479,7498.91752183776,7724.04241057376,8223.04145029796,7408.09130082314,7833.19501250117,8561.58701121461,7003.46989117043,7653.17187042868
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominican Republic,DOM,992.238964207372,2845.8391666108,6049.47174094956,6171.29556968327,6533.66686007327,6838.93659408348,7191.07657188469,7513.49134309925,7947.15820732109,8173.33800656006,7167.91915908327,8476.75215730978
GDP per capita (current US$),NY.GDP.PCAP.CD,Ecuador,ECU,1458.32687154356,1451.53088517998,5678.45572070003,6050.3546113274,6374.6314856366,6130.58667556768,6079.08873612077,6246.40425217932,6321.34940071717,6233.25816692363,5645.19928965332,5965.13287054416
GDP per capita (current US$),NY.GDP.PCAP.CD,"Egypt, Arab Rep.",EGY,751.187490181277,1398.85983078672,3059.13542779204,3088.8908340843,3196.86138078687,3370.38244716015,3331.61246134688,2315.89662651245,2407.08654343598,2869.57658843903,3398.80143153083,3698.83498105861
GDP per capita (current US$),NY.GDP.PCAP.CD,El Salvador,SLV,897.59298208612,1977.84061443838,3471.05126865498,3555.16209958481,3638.51765819162,3761.51368000275,3870.31298246063,3986.04901435439,4145.86235103186,4280.28840404719,3903.39583878605,4551.18466141298
GDP per capita (current US$),NY.GDP.PCAP.CD,Equatorial Guinea,GNQ,240.832665408648,1527.05637771592,18756.4264233373,17644.5951619429,16804.9259482413,9788.98377058219,8035.30786982776,8410.39725012272,8719.18621660567,7317.39018853546,6327.59901151363,7506.66752306086
GDP per capita (current US$),NY.GDP.PCAP.CD,Eritrea,ERI,..,295.19692403481,..,..,..,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Estonia,EST,..,4070.60902410208,17403.2053254767,19056.0019226989,20261.0667303886,17402.0376128079,18295.3429322114,20437.765376736,23165.8494786437,23424.4847073518,23595.2436836441,27943.701219882
GDP per capita (current US$),NY.GDP.PCAP.CD,Eswatini,SWZ,1305.25612452463,1686.66433741666,4396.56251946722,4111.10964734079,3928.50682779538,3583.31129031343,3339.99289890327,3824.04678338499,4020.27305022394,3843.3773913814,3372.89560064925,3978.4035281759
GDP per capita (current US$),NY.GDP.PCAP.CD,Ethiopia,ETH,254.295254599846,122.962293496623,458.550920793057,490.791804039986,557.534148360438,630.31268211446,705.616304982959,755.751767671957,758.299059582623,840.449451464836,918.652594077418,925.077428048534
GDP per capita (current US$),NY.GDP.PCAP.CD,Faroe Islands,FRO,..,23370.9009945655,50156.8509738445,55560.2517393911,60125.7721171364,52726.7422373484,56834.0685101682,59328.1747680852,62576.9899253899,63383.196148417,61980.2900239725,69010.3098011151
GDP per capita (current US$),NY.GDP.PCAP.CD,Fiji,FJI,1713.18988535426,2015.88117157355,4359.77534993306,4586.89792093973,5305.19092336933,5105.26262664449,5368.42324040397,5825.1292069741,6073.33638842434,5968.30055949885,4864.11704680273,4646.6127232145
GDP per capita (current US$),NY.GDP.PCAP.CD,Finland,FIN,28364.6450765922,24345.9148217032,47708.0612784469,49892.2233632732,50327.2402902632,42801.9081167285,43814.0265056965,46412.1364777169,49987.6261584968,48629.8582283032,49170.7521512441,53654.7502964259
GDP per capita (current US$),NY.GDP.PCAP.CD,France,FRA,21865.5552539348,22416.425417915,40870.8523645734,42602.7179652667,43068.5487241739,36652.9223052178,37062.5335723829,38781.0494870836,41557.8548588876,40494.8982936276,39055.2829280754,43658.9789781222
GDP per capita (current US$),NY.GDP.PCAP.CD,French Polynesia,PYF,15728.718798864,14346.1904811211,19864.5380524315,20941.5222349581,21223.0837572513,18252.5199732421,18726.6422497652,19743.9549091166,20614.8988564664,20023.5047046924,18910.3801296387,19914.6035133645
GDP per capita (current US$),NY.GDP.PCAP.CD,Gabon,GAB,6055.06024847805,3991.15702215689,9348.5155721976,9250.08156410837,9255.36859701951,7090.45460996325,6722.1983928425,6975.69579258695,7694.90604516325,7523.8622784598,6680.08267035383,8635.32569443437
GDP per capita (current US$),NY.GDP.PCAP.CD,"Gambia, The",GMB,304.707378633962,544.622025851887,686.558285433815,647.385300507399,561.649123155962,611.671334233568,640.676678884585,632.001146190196,683.324363124911,722.874793145171,704.029916035493,772.152395143237
GDP per capita (current US$),NY.GDP.PCAP.CD,Georgia,GEO,1614.6401223992,749.908534993961,4421.81824228013,4623.74572473419,4739.18833846421,4014.18594419329,4062.16988757379,4357.00093554628,4722.0424231414,4696.15058555612,4255.74299321254,5023.27437961979
GDP per capita (current US$),NY.GDP.PCAP.CD,Germany,DEU,22303.9613266628,23694.7604830673,43855.8544658618,46298.9229177341,48023.8699845462,41103.2564363768,42136.1207907991,44652.5891722719,47939.2782884504,46793.6867616004,46772.8253507545,51203.5544731043
GDP per capita (current US$),NY.GDP.PCAP.CD,Ghana,GHA,381.250837573773,253.389128238287,1536.59184802508,2282.34990530706,1942.90509974861,1711.29066611485,1900.40593746601,1998.73797992081,2180.04157022729,2167.91158941087,2176.57945945697,2363.29929621422
GDP per capita (current US$),NY.GDP.PCAP.CD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Greece,GRC,9600.18523506603,12072.9293569196,21912.9982879517,21787.7877636035,21616.7100094908,18083.8779056547,17923.9668134716,18582.0893411631,19756.990456255,19144.284387556,17658.9473011192,20192.5963039061
GDP per capita (current US$),NY.GDP.PCAP.CD,Greenland,GRL,18326.8051234609,19004.1072910304,45936.7659516989,47535.5899453685,50484.9275739023,44536.4013080999,48181.874188064,50766.5994182748,54545.2999786248,53256.2440862119,54571.2091605745,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Grenada,GRD,2807.74544370817,4840.68406406257,6900.77178600369,7205.26838352312,7726.40965652867,8379.62184743156,8849.51353500776,9309.23066697663,9574.27987254478,9887.92074235834,8437.56673228706,9010.57224466261
GDP per capita (current US$),NY.GDP.PCAP.CD,Guam,GUM,..,..,31642.1462570316,32318.8908975541,33483.9414359299,34522.3779304433,35052.8079075238,35663.0250406273,35902.725903793,37752.633077142,34780.8616624614,35904.8635462723
GDP per capita (current US$),NY.GDP.PCAP.CD,Guatemala,GTM,845.306962105181,1664.29895827045,3355.03691881272,3522.77370621475,3779.64233613025,3994.63691288475,4173.30166619474,4454.04814983548,4485.73125489372,4647.69334663252,4604.57667897864,5025.5422907779
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea,GIN,419.686784901745,359.286673514741,707.967680829951,757.692269162995,774.569037046568,756.425594058563,720.473253567737,843.464278862423,944.417266210548,1043.8998820932,1073.65933709951,1189.17599946631
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea-Bissau,GNB,250.589846359037,301.495561232743,598.572671326768,616.159958468139,605.122583085693,585.957010585942,642.666406419137,718.2457991071,781.644309083979,730.611448705215,710.258138543444,795.118569260485
GDP per capita (current US$),NY.GDP.PCAP.CD,Guyana,GUY,530.817521363669,938.893297983287,5461.39096662381,5576.24930990457,5495.37619674792,5668.42976474423,5905.38019563205,6220.97856820609,6094.90885870963,6477.29672607993,6863.07434593017,9998.54431136155
GDP per capita (current US$),NY.GDP.PCAP.CD,Haiti,HTI,447.096290415577,814.999304226415,1356.17288178571,1452.3121444609,1453.91747709273,1404.15521407257,1305.57129738556,1384.0383724393,1494.2249622283,1324.84400548618,1283.14082978936,1829.59304417211
GDP per capita (current US$),NY.GDP.PCAP.CD,Honduras,HND,974.229483842708,1079.60748497786,2107.35083070622,2064.54840619818,2164.42021860394,2257.2227122596,2295.53807949199,2403.30445120081,2457.68892139081,2519.37019370185,2354.11961431042,2771.71746050946
GDP per capita (current US$),NY.GDP.PCAP.CD,"Hong Kong SAR, China",HKG,13485.5448929565,25756.6637783278,36730.8767001128,38403.7777145477,40315.2855640552,42431.8882817277,43733.9163612828,46160.429791493,48537.5668888343,48356.0635043614,46107.7652757721,49800.5424137576
GDP per capita (current US$),NY.GDP.PCAP.CD,Hungary,HUN,..,4624.28165670295,12984.8365730133,13715.0703590361,14294.2584180751,12717.038597002,13104.6995457458,14621.2395956755,16425.1012999059,16782.9524639857,16120.9890495243,18728.1218948689
GDP per capita (current US$),NY.GDP.PCAP.CD,Iceland,ISL,25384.9150226302,32096.3722613695,45995.5478789467,49804.9829978371,54576.7448146565,52951.6815110898,61987.9263620283,72010.1490316258,74461.479998678,68853.71521658,59200.1779441092,68727.636664709
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,368.749759408129,442.034778917695,1434.01819806113,1438.05748041006,1559.86451848257,1590.17391842781,1714.28035526737,1957.968841235,1974.37778792366,2047.23270433512,1910.42147282449,2256.59040870506
GDP per capita (current US$),NY.GDP.PCAP.CD,Indonesia,IDN,582.678967798773,770.865351580294,3668.21207047486,3602.88551680629,3476.62485324343,3322.58168813599,3558.81885229219,3839.78506857872,3902.6616681577,4151.22754296453,3894.27220196922,4332.70928089396
GDP per capita (current US$),NY.GDP.PCAP.CD,"Iran, Islamic Rep.",IRN,2237.05226140112,1672.02287650211,8329.00204422921,6280.68185751355,5757.54333684193,4990.93679760475,5497.24322713074,5758.59071996595,3873.99534020792,3277.875595507,2746.42044957439,4091.20918670534
GDP per capita (current US$),NY.GDP.PCAP.CD,Iraq,IRQ,10216.5688075328,1963.72283862715,6437.50307624074,6612.90225210234,6215.98603314029,4416.94304894546,4305.20270154631,4725.19357334032,5601.46706102705,5621.18169491752,4332.30412463995,4775.3774539013
GDP per capita (current US$),NY.GDP.PCAP.CD,Ireland,IRL,14031.3025675469,26334.5672050501,49054.6974340641,51546.3547634545,55643.0594338748,62053.9844381587,62895.9111239282,69970.9489145762,79250.3878517684,80927.0746710666,85420.1908556097,100172.079253421
GDP per capita (current US$),NY.GDP.PCAP.CD,Isle of Man,IMN,..,20693.8381675417,79332.2715559227,83199.6195628281,91885.607793653,84759.345951354,82045.4388430866,83507.7976140431,89429.6545852014,87157.4714603395,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Israel,ISR,..,21630.7476087887,33156.2283157638,36941.8423573582,38259.6810956173,36206.5222171621,37690.4739511859,41114.7817082553,42406.8454263606,44452.2325623093,44846.7915954816,52170.7118623335
GDP per capita (current US$),NY.GDP.PCAP.CD,Italy,ITA,20825.7842228307,20137.5912217673,35051.5212697703,35560.0814062288,35565.7213771496,30242.3861352184,30960.7315088902,32406.7203150134,34622.1696664741,33673.7509627421,31911.0357890017,35657.4975631691
GDP per capita (current US$),NY.GDP.PCAP.CD,Jamaica,JAM,1919.8020373373,3447.30389648976,5365.24229295272,5143.72131166933,4991.56551872824,5077.55062188355,5022.70471701644,5273.15074381723,5594.49393466948,5626.17117652759,4897.26589668631,5183.58130458676
GDP per capita (current US$),NY.GDP.PCAP.CD,Japan,JPN,25371.4641705246,39169.3595701504,49145.2804308193,40898.6478964744,38475.3952461838,34960.6393843385,39375.4731620781,38834.0529341227,39727.1165995928,40458.0018755824,39918.1675583443,39312.6603730693
GDP per capita (current US$),NY.GDP.PCAP.CD,Jordan,JOR,1195.24744651472,1673.35812510644,4386.46181582146,4477.61832588262,4255.89430976972,4064.25301644124,4003.40474862656,4073.11640376315,4146.40729580484,4205.56365350106,4042.7693498462,4103.25896599583
GDP per capita (current US$),NY.GDP.PCAP.CD,Kazakhstan,KAZ,1647.46324337761,1229.00124667231,12386.6992652963,13890.6309562926,12807.2606866152,10510.7718884149,7714.84184376024,9247.58133129626,9812.62637077396,9812.5958082732,9121.63713797145,10373.7897924367
GDP per capita (current US$),NY.GDP.PCAP.CD,Kenya,KEN,370.100147042765,411.821579175021,1289.78082201489,1376.82886892748,1489.91911052082,1496.65285612239,1562.07614156101,1675.97391639619,1845.78294001398,1970.10514317888,1936.42458891104,2081.79985458438
GDP per capita (current US$),NY.GDP.PCAP.CD,Kiribati,KIR,571.479892401018,757.145142154679,1698.92088345979,1628.71020469547,1546.83017691485,1459.13302105094,1506.24667899101,1563.55045683718,1605.01364964695,1432.17898537689,1430.55157354026,1606.46251377314
GDP per capita (current US$),NY.GDP.PCAP.CD,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Korea, Rep.",KOR,6610.0365083067,12256.9935679503,25466.7605170594,27182.7343101936,29249.5752209742,28732.2310762599,29288.8704389833,31616.8434004683,33436.9230646064,31902.4169048194,31721.2989141857,34997.7816427848
GDP per capita (current US$),NY.GDP.PCAP.CD,Kosovo,XKX,..,..,3410.85977956608,3704.78422059665,3902.67601270818,3520.7664492744,3759.56024604446,4009.38098680368,4384.0488917319,4416.10835754636,4310.81118337317,5269.78390114389
GDP per capita (current US$),NY.GDP.PCAP.CD,Kuwait,KWT,11002.0656154304,19490.8381578713,51277.6621064846,47760.9441264683,43234.8214233111,29310.522105363,27029.9977808519,29263.089648236,32007.5235352632,30667.3482202553,24300.32943621,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Kyrgyz Republic,KGZ,609.172891237019,279.619569260939,1177.97473487848,1282.43716202467,1279.76978265986,1121.08283510739,1120.66651300848,1242.76964282023,1308.14016549619,1374.03210467421,1182.52170043018,1276.7003650159
